state,county,tract,NAME,GEO_ID,DP04_0089E,DP04_0134E,DP03_0005PE
32,003,006203,"Census Tract 62.03, Clark County, Nevada",1400000US32003006203,104100,1111,13.2
32,003,006204,"Census Tract 62.04, Clark County, Nevada",1400000US32003006204,116600,1215,10.2
32,003,005818,"Census Tract 58.18, Clark County, Nevada",1400000US32003005818,77300,855,3.0
32,003,004907,"Census Tract 49.07, Clark County, Nevada",1400000US32003004907,219400,1383,6.6
32,003,004911,"Census Tract 49.11, Clark County, Nevada",1400000US32003004911,93600,858,15.5
32,003,001003,"Census Tract 10.03, Clark County, Nevada",1400000US32003001003,126400,981,3.7
32,003,001613,"Census Tract 16.13, Clark County, Nevada",1400000US32003001613,96800,875,8.2
32,003,001714,"Census Tract 17.14, Clark County, Nevada",1400000US32003001714,125000,1243,8.7
32,003,002000,"Census Tract 20, Clark County, Nevada",1400000US32003002000,216100,881,8.3
32,003,002505,"Census Tract 25.05, Clark County, Nevada",1400000US32003002505,86000,790,11.4
32,003,002826,"Census Tract 28.26, Clark County, Nevada",1400000US32003002826,155100,1343,8.7
32,003,002936,"Census Tract 29.36, Clark County, Nevada",1400000US32003002936,134900,992,5.4
32,003,002944,"Census Tract 29.44, Clark County, Nevada",1400000US32003002944,243000,1398,8.1
32,003,002956,"Census Tract 29.56, Clark County, Nevada",1400000US32003002956,374200,858,8.9
32,003,003001,"Census Tract 30.01, Clark County, Nevada",1400000US32003003001,127100,835,7.3
32,003,003303,"Census Tract 33.03, Clark County, Nevada",1400000US32003003303,155400,1106,9.1
32,003,003416,"Census Tract 34.16, Clark County, Nevada",1400000US32003003416,152900,1300,2.8
32,003,003418,"Census Tract 34.18, Clark County, Nevada",1400000US32003003418,129200,940,11.3
32,003,003421,"Census Tract 34.21, Clark County, Nevada",1400000US32003003421,124300,1018,10.9
32,003,003423,"Census Tract 34.23, Clark County, Nevada",1400000US32003003423,103500,839,11.6
32,003,003609,"Census Tract 36.09, Clark County, Nevada",1400000US32003003609,136100,1214,4.6
32,003,003610,"Census Tract 36.10, Clark County, Nevada",1400000US32003003610,129700,1272,8.7
32,003,003612,"Census Tract 36.12, Clark County, Nevada",1400000US32003003612,146300,1100,3.5
